Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
7012 CE/HCP4AL1,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,37000.0
7012 CE/HCP4BVG275,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,
S7012 CE/HCP4A,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,
S7012 CE/HCP4BVG275,60.0,95.0,18.0,17.2,12.9,0.4,24000.0,
7012 CE/P4A,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,31000.0
7012 CE/P4AH1,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,31000.0
7012 CE/P4AL,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,31000.0
7012 CE/P4AL1,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,31000.0
7012 CE/P4BVG275,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,
S7012 CE/P4A,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,
S7012 CE/P4BVG275,60.0,95.0,18.0,17.2,12.9,0.54,20000.0,
7012 ACD/HCP4A,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,24000.0
7012 ACD/HCP4AH1,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,24000.0
7012 ACD/HCP4AL,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,24000.0
7012 ACDTP/HCP4B,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,
S7012 ACD/HCP4A,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,
S7012 ACDTP/HCP4B,60.0,95.0,18.0,39.0,33.5,1.02,15000.0,
7012 ACD/P4A,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,20000.0
7012 ACD/P4AH1,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,20000.0
7012 ACD/P4AL,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,20000.0
7012 ACDTP/P4B,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,
S7012 ACD/P4A,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,
S7012 ACDTP/P4B,60.0,95.0,18.0,39.0,33.5,1.4,13000.0,
7012 CD/HCP4A,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,26000.0
7012 CD/HCP4AH1,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,26000.0
7012 CD/HCP4AL,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,26000.0
7012 CDTP/HCP4B,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,
S7012 CD/HCP4A,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,
S7012 CDTP/HCP4B,60.0,95.0,18.0,40.3,34.5,1.08,17000.0,
7012 CD/P4A,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,22000.0
7012 CD/P4AH1,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,22000.0
7012 CD/P4AL,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,22000.0
7012 CDTP/P4B,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,
S7012 CD/P4A,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,
S7012 CDTP/P4B,60.0,95.0,18.0,40.3,34.5,1.5,14000.0,
7212 ACD/HCP4A,60.0,110.0,22.0,55.3,45.0,1.37,14000.0,22000.0
S7212 ACD/HCP4A,60.0,110.0,22.0,55.3,45.0,1.37,14000.0,
7212 ACD/P4A,60.0,110.0,22.0,55.3,45.0,1.9,11000.0,18000.0
S7212 ACD/P4A,60.0,110.0,22.0,55.3,45.0,1.9,11000.0,
7212 CD/HCP4A,60.0,110.0,22.0,57.2,46.5,1.46,16000.0,24000.0
S7212 CD/HCP4A,60.0,110.0,22.0,57.2,46.5,1.46,16000.0,
7212 CD/P4A,60.0,110.0,22.0,57.2,46.5,2.0,13000.0,20000.0
S7212 CD/P4A,60.0,110.0,22.0,57.2,46.5,2.0,13000.0,
71813 ACD/HCP4,65.0,85.0,10.0,12.7,14.0,0.43,16000.0,24000.0
71813 ACD/P4,65.0,85.0,10.0,12.7,14.0,0.585,13000.0,20000.0
71813 CD/HCP4,65.0,85.0,10.0,13.5,14.6,0.455,18000.0,28000.0
71813 CD/P4,65.0,85.0,10.0,13.5,14.6,0.63,15000.0,22000.0
71913 ACB/HCP4A,65.0,90.0,13.0,9.95,8.8,0.275,22000.0,34000.0
71913 ACB/HCP4AL,65.0,90.0,13.0,9.95,8.8,0.275,22000.0,34000.0
S71913 ACB/HCP4A,65.0,90.0,13.0,9.95,8.8,0.275,22000.0,
71913 ACB/P4A,65.0,90.0,13.0,9.95,8.8,0.375,18000.0,28000.0
71913 ACB/P4AL,65.0,90.0,13.0,9.95,8.8,0.375,18000.0,28000.0
S71913 ACB/P4A,65.0,90.0,13.0,9.95,8.8,0.375,18000.0,
