Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
S71917 ACB/P4A,85.0,120.0,18.0,15.3,15.3,0.64,13000.0,
71917 CB/HCP4A,85.0,120.0,18.0,16.3,16.3,0.5,18000.0,28000.0
71917 CB/HCP4AL,85.0,120.0,18.0,16.3,16.3,0.5,18000.0,28000.0
S71917 CB/HCP4A,85.0,120.0,18.0,16.3,16.3,0.5,18000.0,
71917 CB/P4A,85.0,120.0,18.0,16.3,16.3,0.68,15000.0,22000.0
71917 CB/P4AL,85.0,120.0,18.0,16.3,16.3,0.68,15000.0,22000.0
S71917 CB/P4A,85.0,120.0,18.0,16.3,16.3,0.68,15000.0,
71917 ACE/P4A,85.0,120.0,18.0,28.1,22.0,0.9,13700.0,21000.0
71917 ACE/P4AH1,85.0,120.0,18.0,28.1,22.0,0.9,13700.0,21000.0
71917 ACE/P4AL,85.0,120.0,18.0,28.1,22.0,0.9,13700.0,21000.0
S71917 ACE/P4A,85.0,120.0,18.0,28.1,22.0,0.9,13700.0,
71917 ACE/HCP4A,85.0,120.0,18.0,28.1,22.0,0.9,16500.0,25000.0
71917 ACE/HCP4AH1,85.0,120.0,18.0,28.1,22.0,0.9,16500.0,25000.0
71917 ACE/HCP4AL,85.0,120.0,18.0,28.1,22.0,0.9,16500.0,25000.0
S71917 ACE/HCP4A,85.0,120.0,18.0,28.1,22.0,0.9,16500.0,
71917 CE/P4A,85.0,120.0,18.0,29.6,23.2,0.95,15500.0,24000.0
71917 CE/P4AH1,85.0,120.0,18.0,29.6,23.2,0.95,15500.0,24000.0
71917 CE/P4AL,85.0,120.0,18.0,29.6,23.2,0.95,15500.0,24000.0
S71917 CE/P4A,85.0,120.0,18.0,29.6,23.2,0.95,15500.0,
71917 CE/HCP4A,85.0,120.0,18.0,29.6,23.2,0.95,18000.0,28000.0
71917 CE/HCP4AH1,85.0,120.0,18.0,29.6,23.2,0.95,18000.0,28000.0
71917 CE/HCP4AL,85.0,120.0,18.0,29.6,23.2,0.95,18000.0,28000.0
S71917 CE/HCP4A,85.0,120.0,18.0,29.6,23.2,0.95,18000.0,
71917 ACD/HCP4A,85.0,120.0,18.0,43.6,45.5,1.4,11000.0,18000.0
71917 ACD/HCP4AH1,85.0,120.0,18.0,43.6,45.5,1.4,11000.0,18000.0
71917 ACD/HCP4AL,85.0,120.0,18.0,43.6,45.5,1.4,11000.0,18000.0
S71917 ACD/HCP4A,85.0,120.0,18.0,43.6,45.5,1.4,11000.0,
71917 ACD/P4A,85.0,120.0,18.0,43.6,45.5,1.93,9000.0,15000.0
71917 ACD/P4AH1,85.0,120.0,18.0,43.6,45.5,1.93,9000.0,15000.0
71917 ACD/P4AL,85.0,120.0,18.0,43.6,45.5,1.93,9000.0,15000.0
S71917 ACD/P4A,85.0,120.0,18.0,43.6,45.5,1.93,9000.0,
71917 CD/HCP4A,85.0,120.0,18.0,46.2,48.0,1.5,14000.0,20000.0
71917 CD/HCP4AH1,85.0,120.0,18.0,46.2,48.0,1.5,14000.0,20000.0
71917 CD/HCP4AL,85.0,120.0,18.0,46.2,48.0,1.5,14000.0,20000.0
S71917 CD/HCP4A,85.0,120.0,18.0,46.2,48.0,1.5,14000.0,
71917 CD/P4A,85.0,120.0,18.0,46.2,48.0,2.04,10000.0,17000.0
71917 CD/P4AH1,85.0,120.0,18.0,46.2,48.0,2.04,10000.0,17000.0
71917 CD/P4AL,85.0,120.0,18.0,46.2,48.0,2.04,10000.0,17000.0
S71917 CD/P4A,85.0,120.0,18.0,46.2,48.0,2.04,10000.0,
7017 ACB/HCP4A,85.0,130.0,22.0,25.1,22.4,0.67,14000.0,22000.0
7017 ACB/HCP4AL,85.0,130.0,22.0,25.1,22.4,0.67,14000.0,22000.0
S7017 ACB/HCP4A,85.0,130.0,22.0,25.1,22.4,0.67,14000.0,
7017 ACB/P4A,85.0,130.0,22.0,25.1,22.4,0.915,12000.0,18000.0
7017 ACB/P4AL,85.0,130.0,22.0,25.1,22.4,0.915,12000.0,18000.0
S7017 ACB/P4A,85.0,130.0,22.0,25.1,22.4,0.915,12000.0,
7017 CB/HCP4A,85.0,130.0,22.0,27.0,23.6,0.71,16000.0,24000.0
7017 CB/HCP4AL,85.0,130.0,22.0,27.0,23.6,0.71,16000.0,24000.0
S7017 CB/HCP4A,85.0,130.0,22.0,27.0,23.6,0.71,16000.0,
7017 CB/P4A,85.0,130.0,22.0,27.0,23.6,0.965,13000.0,20000.0
7017 CB/P4AL,85.0,130.0,22.0,27.0,23.6,0.965,13000.0,20000.0
S7017 CB/P4A,85.0,130.0,22.0,27.0,23.6,0.965,13000.0,
7017 ACE/HCP4A,85.0,130.0,22.0,32.5,28.0,0.83,15000.0,23000.0
7017 ACE/HCP4AH1,85.0,130.0,22.0,32.5,28.0,0.83,15000.0,23000.0
7017 ACE/HCP4AL,85.0,130.0,22.0,32.5,28.0,0.83,15000.0,23000.0
7017 ACE/HCP4AL1,85.0,130.0,22.0,32.5,28.0,0.83,15000.0,23000.0
S7017 ACE/HCP4A,85.0,130.0,22.0,32.5,28.0,0.83,15000.0,
7017 ACE/P4A,85.0,130.0,22.0,32.5,28.0,1.14,13000.0,20000.0
7017 ACE/P4AH1,85.0,130.0,22.0,32.5,28.0,1.14,13000.0,20000.0
7017 ACE/P4AL,85.0,130.0,22.0,32.5,28.0,1.14,13000.0,20000.0
7017 ACE/P4AL1,85.0,130.0,22.0,32.5,28.0,1.14,13000.0,20000.0
S7017 ACE/P4A,85.0,130.0,22.0,32.5,28.0,1.14,13000.0,
7017 CE/HCP4A,85.0,130.0,22.0,34.5,29.0,0.88,16500.0,26000.0
7017 CE/HCP4AH1,85.0,130.0,22.0,34.5,29.0,0.88,16500.0,26000.0
7017 CE/HCP4AL,85.0,130.0,22.0,34.5,29.0,0.88,16500.0,26000.0
7017 CE/HCP4AL1,85.0,130.0,22.0,34.5,29.0,0.88,16500.0,26000.0
S7017 CE/HCP4A,85.0,130.0,22.0,34.5,29.0,0.88,16500.0,
7017 CE/P4A,85.0,130.0,22.0,34.5,29.0,1.2,14000.0,22000.0
7017 CE/P4AH1,85.0,130.0,22.0,34.5,29.0,1.2,14000.0,22000.0
7017 CE/P4AL,85.0,130.0,22.0,34.5,29.0,1.2,14000.0,22000.0
7017 CE/P4AL1,85.0,130.0,22.0,34.5,29.0,1.2,14000.0,22000.0
S7017 CE/P4A,85.0,130.0,22.0,34.5,29.0,1.2,14000.0,
7017 ACD/HCP4A,85.0,130.0,22.0,63.7,62.0,1.83,11000.0,17000.0
7017 ACD/HCP4AH1,85.0,130.0,22.0,63.7,62.0,1.83,11000.0,17000.0
7017 ACD/HCP4AL,85.0,130.0,22.0,63.7,62.0,1.83,11000.0,17000.0
S7017 ACD/HCP4A,85.0,130.0,22.0,63.7,62.0,1.83,11000.0,
7017 ACD/P4A,85.0,130.0,22.0,63.7,62.0,2.5,9000.0,14000.0
7017 ACD/P4AH1,85.0,130.0,22.0,63.7,62.0,2.5,9000.0,14000.0
7017 ACD/P4AL,85.0,130.0,22.0,63.7,62.0,2.5,9000.0,14000.0
S7017 ACD/P4A,85.0,130.0,22.0,63.7,62.0,2.5,9000.0,
7017 CD/HCP4A,85.0,130.0,22.0,67.6,65.5,1.93,12000.0,19000.0
7017 CD/HCP4AH1,85.0,130.0,22.0,67.6,65.5,1.93,12000.0,19000.0
7017 CD/HCP4AL,85.0,130.0,22.0,67.6,65.5,1.93,12000.0,19000.0
S7017 CD/HCP4A,85.0,130.0,22.0,67.6,65.5,1.93,12000.0,
7017 CD/P4A,85.0,130.0,22.0,67.6,65.5,2.65,10000.0,16000.0
7017 CD/P4AH1,85.0,130.0,22.0,67.6,65.5,2.65,10000.0,16000.0
7017 CD/P4AL,85.0,130.0,22.0,67.6,65.5,2.65,10000.0,16000.0
S7017 CD/P4A,85.0,130.0,22.0,67.6,65.5,2.65,10000.0,
7217 ACD/HCP4A,85.0,150.0,28.0,95.6,85.0,2.45,9500.0,16000.0
7217 ACD/P4A,85.0,150.0,28.0,95.6,85.0,3.35,8000.0,13000.0
7217 CD/HCP4A,85.0,150.0,28.0,99.5,88.0,2.55,11000.0,17000.0
7217 CD/P4A,85.0,150.0,28.0,99.5,88.0,3.45,9000.0,15000.0
71818 ACD/HCP4,90.0,115.0,13.0,20.3,25.0,0.765,12000.0,18000.0
71818 ACD/P4,90.0,115.0,13.0,20.3,25.0,1.04,10000.0,15000.0
71818 CD/HCP4,90.0,115.0,13.0,21.6,26.5,0.8,13000.0,20000.0
71818 CD/P4,90.0,115.0,13.0,21.6,26.5,1.1,11000.0,17000.0
71918 ACB/HCP4A,90.0,125.0,18.0,16.8,16.6,0.5,15000.0,22000.0
71918 ACB/HCP4AL,90.0,125.0,18.0,16.8,16.6,0.5,15000.0,22000.0
S71918 ACB/HCP4A,90.0,125.0,18.0,16.8,16.6,0.5,15000.0,
71918 ACB/P4A,90.0,125.0,18.0,16.8,16.6,0.68,12000.0,19000.0
71918 ACB/P4AL,90.0,125.0,18.0,16.8,16.6,0.68,12000.0,19000.0
S71918 ACB/P4A,90.0,125.0,18.0,16.8,16.6,0.68,12000.0,
71918 CB/HCP4A,90.0,125.0,18.0,17.8,17.6,0.53,16000.0,26000.0
71918 CB/HCP4AL,90.0,125.0,18.0,17.8,17.6,0.53,16000.0,26000.0
S71918 CB/HCP4A,90.0,125.0,18.0,17.8,17.6,0.53,16000.0,
71918 CB/P4A,90.0,125.0,18.0,17.8,17.6,0.72,14000.0,22000.0
71918 CB/P4AL,90.0,125.0,18.0,17.8,17.6,0.72,14000.0,22000.0
S71918 CB/P4A,90.0,125.0,18.0,17.8,17.6,0.72,14000.0,
71918 ACE/P4A,90.0,125.0,18.0,28.6,23.2,0.915,13000.0,20000.0
71918 ACE/P4AH1,90.0,125.0,18.0,28.6,23.2,0.915,13000.0,20000.0
71918 ACE/P4AL,90.0,125.0,18.0,28.6,23.2,0.915,13000.0,20000.0
S71918 ACE/P4A,90.0,125.0,18.0,28.6,23.2,0.915,13000.0,
71918 ACE/HCP4A,90.0,125.0,18.0,28.6,23.2,0.915,15500.0,24000.0
71918 ACE/HCP4AH1,90.0,125.0,18.0,28.6,23.2,0.915,15500.0,24000.0
71918 ACE/HCP4AL,90.0,125.0,18.0,28.6,23.2,0.915,15500.0,24000.0
S71918 ACE/HCP4A,90.0,125.0,18.0,28.6,23.2,0.915,15500.0,
71918 CE/P4A,90.0,125.0,18.0,30.2,24.5,0.965,14500.0,22000.0
71918 CE/P4AH1,90.0,125.0,18.0,30.2,24.5,0.965,14500.0,22000.0
71918 CE/P4AL,90.0,125.0,18.0,30.2,24.5,0.965,14500.0,22000.0
S71918 CE/P4A,90.0,125.0,18.0,30.2,24.5,0.965,14500.0,
71918 CE/HCP4A,90.0,125.0,18.0,30.2,24.5,0.965,17000.0,27000.0
71918 CE/HCP4AH1,90.0,125.0,18.0,30.2,24.5,0.965,17000.0,27000.0
71918 CE/HCP4AL,90.0,125.0,18.0,30.2,24.5,0.965,17000.0,27000.0
S71918 CE/HCP4A,90.0,125.0,18.0,30.2,24.5,0.965,17000.0,
71918 ACD/HCP4A,90.0,125.0,18.0,44.2,48.0,1.43,10000.0,17000.0
71918 ACD/HCP4AH1,90.0,125.0,18.0,44.2,48.0,1.43,10000.0,17000.0
71918 ACD/HCP4AL,90.0,125.0,18.0,44.2,48.0,1.43,10000.0,17000.0
S71918 ACD/HCP4A,90.0,125.0,18.0,44.2,48.0,1.43,10000.0,
71918 ACD/P4A,90.0,125.0,18.0,44.2,48.0,1.96,8500.0,14000.0
71918 ACD/P4AH1,90.0,125.0,18.0,44.2,48.0,1.96,8500.0,14000.0
71918 ACD/P4AL,90.0,125.0,18.0,44.2,48.0,1.96,8500.0,14000.0
S71918 ACD/P4A,90.0,125.0,18.0,44.2,48.0,1.96,8500.0,
71918 CD/HCP4A,90.0,125.0,18.0,47.5,51.0,1.53,13000.0,19000.0
71918 CD/HCP4AH1,90.0,125.0,18.0,47.5,51.0,1.53,13000.0,19000.0
71918 CD/HCP4AL,90.0,125.0,18.0,47.5,51.0,1.53,13000.0,19000.0
S71918 CD/HCP4A,90.0,125.0,18.0,47.5,51.0,1.53,13000.0,
71918 CD/P4A,90.0,125.0,18.0,47.5,51.0,2.08,9500.0,16000.0
71918 CD/P4AH1,90.0,125.0,18.0,47.5,51.0,2.08,9500.0,16000.0
71918 CD/P4AL,90.0,125.0,18.0,47.5,51.0,2.08,9500.0,16000.0
S71918 CD/P4A,90.0,125.0,18.0,47.5,51.0,2.08,9500.0,
7018 ACB/HCP4A,90.0,140.0,24.0,27.0,23.6,0.68,13000.0,20000.0
7018 ACB/HCP4AL,90.0,140.0,24.0,27.0,23.6,0.68,13000.0,20000.0
S7018 ACB/HCP4A,90.0,140.0,24.0,27.0,23.6,0.68,13000.0,
7018 ACB/P4A,90.0,140.0,24.0,27.0,23.6,0.93,11000.0,17000.0
7018 ACB/P4AL,90.0,140.0,24.0,27.0,23.6,0.93,11000.0,17000.0
S7018 ACB/P4A,90.0,140.0,24.0,27.0,23.6,0.93,11000.0,
7018 CB/HCP4A,90.0,140.0,24.0,29.1,25.0,0.72,15000.0,24000.0
7018 CB/HCP4AL,90.0,140.0,24.0,29.1,25.0,0.72,15000.0,24000.0
S7018 CB/HCP4A,90.0,140.0,24.0,29.1,25.0,0.72,15000.0,
7018 CB/P4A,90.0,140.0,24.0,29.1,25.0,0.98,12000.0,19000.0
7018 CB/P4AL,90.0,140.0,24.0,29.1,25.0,0.98,12000.0,19000.0
S7018 CB/P4A,90.0,140.0,24.0,29.1,25.0,0.98,12000.0,
7018 ACE/HCP4A,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,22000.0
7018 ACE/HCP4AH1,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,22000.0
7018 ACE/HCP4AL,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,22000.0
7018 ACE/HCP4AL1,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,22000.0
7018 ACE/HCP4BVG275,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,
S7018 ACE/HCP4A,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,
S7018 ACE/HCP4BVG275,90.0,140.0,24.0,33.8,30.0,0.865,14000.0,
7018 ACE/P4A,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,19000.0
7018 ACE/P4AH1,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,19000.0
7018 ACE/P4AL,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,19000.0
7018 ACE/P4AL1,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,19000.0
7018 ACE/P4BVG275,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,
S7018 ACE/P4A,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,
S7018 ACE/P4BVG275,90.0,140.0,24.0,33.8,30.0,1.2,12000.0,
7018 CE/HCP4A,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,24000.0
7018 CE/HCP4AH1,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,24000.0
7018 CE/HCP4AL,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,24000.0
7018 CE/HCP4AL1,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,24000.0
7018 CE/HCP4BVG275,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,
S7018 CE/HCP4A,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,
S7018 CE/HCP4BVG275,90.0,140.0,24.0,35.8,32.0,0.915,15500.0,
7018 CE/P4A,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,21000.0
7018 CE/P4AH1,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,21000.0
7018 CE/P4AL,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,21000.0
7018 CE/P4AL1,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,21000.0
7018 CE/P4BVG275,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,
S7018 CE/P4A,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,
S7018 CE/P4BVG275,90.0,140.0,24.0,35.8,32.0,1.27,13300.0,
7018 ACD/HCP4A,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,16000.0
7018 ACD/HCP4AH1,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,16000.0
7018 ACD/HCP4AL,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,16000.0
7018 ACDTP/HCP4B,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,
S7018 ACD/HCP4A,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,
S7018 ACDTP/HCP4B,90.0,140.0,24.0,74.1,72.0,2.08,10000.0,
7018 ACD/P4A,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,13000.0
7018 ACD/P4AH1,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,13000.0
7018 ACD/P4AL,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,13000.0
7018 ACDTP/P4B,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,
S7018 ACD/P4A,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,
S7018 ACDTP/P4B,90.0,140.0,24.0,74.1,72.0,2.85,8500.0,
7018 CD/HCP4A,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,18000.0
7018 CD/HCP4AH1,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,18000.0
7018 CD/HCP4AL,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,18000.0
7018 CDTP/HCP4B,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,
S7018 CD/HCP4A,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,
S7018 CDTP/HCP4B,90.0,140.0,24.0,79.3,76.5,2.2,11000.0,
7018 CD/P4A,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,15000.0
7018 CD/P4AH1,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,15000.0
7018 CD/P4AL,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,15000.0
7018 CDTP/P4B,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,
S7018 CD/P4A,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,
S7018 CDTP/P4B,90.0,140.0,24.0,79.3,76.5,3.0,9000.0,
7218 ACD/HCP4A,90.0,160.0,30.0,121.0,106.0,3.0,9000.0,15000.0
7218 ACD/P4A,90.0,160.0,30.0,121.0,106.0,4.05,7500.0,12000.0
7218 CD/HCP4A,90.0,160.0,30.0,127.0,112.0,3.1,10000.0,16000.0
7218 CD/P4A,90.0,160.0,30.0,127.0,112.0,4.25,8500.0,14000.0
71819 ACD/HCP4,95.0,120.0,13.0,20.8,25.5,0.765,11000.0,17000.0
71819 ACD/P4,95.0,120.0,13.0,20.8,25.5,1.06,9500.0,14000.0
71819 CD/HCP4,95.0,120.0,13.0,22.1,27.5,0.815,12000.0,19000.0
71819 CD/P4,95.0,120.0,13.0,22.1,27.5,1.12,10000.0,16000.0
71919 ACB/HCP4A,95.0,130.0,18.0,17.2,17.6,0.52,14000.0,22000.0
71919 ACB/HCP4AL,95.0,130.0,18.0,17.2,17.6,0.52,14000.0,22000.0
S71919 ACB/HCP4A,95.0,130.0,18.0,17.2,17.6,0.52,14000.0,
71919 ACB/P4A,95.0,130.0,18.0,17.2,17.6,0.71,12000.0,18000.0
71919 ACB/P4AL,95.0,130.0,18.0,17.2,17.6,0.71,12000.0,18000.0
S71919 ACB/P4A,95.0,130.0,18.0,17.2,17.6,0.71,12000.0,
71919 CB/HCP4A,95.0,130.0,18.0,18.2,18.6,0.55,16000.0,24000.0
71919 CB/HCP4AL,95.0,130.0,18.0,18.2,18.6,0.55,16000.0,24000.0
S71919 CB/HCP4A,95.0,130.0,18.0,18.2,18.6,0.55,16000.0,
71919 CB/P4A,95.0,130.0,18.0,18.2,18.6,0.75,13000.0,20000.0
71919 CB/P4AL,95.0,130.0,18.0,18.2,18.6,0.75,13000.0,20000.0
S71919 CB/P4A,95.0,130.0,18.0,18.2,18.6,0.75,13000.0,
71919 ACE/P4A,95.0,130.0,18.0,29.1,24.0,0.93,12300.0,19000.0
71919 ACE/P4AH1,95.0,130.0,18.0,29.1,24.0,0.93,12300.0,19000.0
71919 ACE/P4AL,95.0,130.0,18.0,29.1,24.0,0.93,12300.0,19000.0
S71919 ACE/P4A,95.0,130.0,18.0,29.1,24.0,0.93,12300.0,
71919 ACE/HCP4A,95.0,130.0,18.0,29.1,24.0,0.93,15000.0,23000.0
71919 ACE/HCP4AH1,95.0,130.0,18.0,29.1,24.0,0.93,15000.0,23000.0
71919 ACE/HCP4AL,95.0,130.0,18.0,29.1,24.0,0.93,15000.0,23000.0
S71919 ACE/HCP4A,95.0,130.0,18.0,29.1,24.0,0.93,15000.0,
71919 CE/P4A,95.0,130.0,18.0,30.7,25.5,0.98,14000.0,21000.0
71919 CE/P4AH1,95.0,130.0,18.0,30.7,25.5,0.98,14000.0,21000.0
71919 CE/P4AL,95.0,130.0,18.0,30.7,25.5,0.98,14000.0,21000.0
S71919 CE/P4A,95.0,130.0,18.0,30.7,25.5,0.98,14000.0,
71919 CE/HCP4A,95.0,130.0,18.0,30.7,25.5,0.98,16000.0,25000.0
71919 CE/HCP4AH1,95.0,130.0,18.0,30.7,25.5,0.98,16000.0,25000.0
71919 CE/HCP4AL,95.0,130.0,18.0,30.7,25.5,0.98,16000.0,25000.0
S71919 CE/HCP4A,95.0,130.0,18.0,30.7,25.5,0.98,16000.0,
71919 ACD/HCP4A,95.0,130.0,18.0,46.2,52.0,1.53,9500.0,16000.0
71919 ACD/HCP4AH1,95.0,130.0,18.0,46.2,52.0,1.53,9500.0,16000.0
71919 ACD/HCP4AL,95.0,130.0,18.0,46.2,52.0,1.53,9500.0,16000.0
S71919 ACD/HCP4A,95.0,130.0,18.0,46.2,52.0,1.53,9500.0,
71919 ACD/P4A,95.0,130.0,18.0,46.2,52.0,2.08,8500.0,14000.0
71919 ACD/P4AH1,95.0,130.0,18.0,46.2,52.0,2.08,8500.0,14000.0
71919 ACD/P4AL,95.0,130.0,18.0,46.2,52.0,2.08,8500.0,14000.0
S71919 ACD/P4A,95.0,130.0,18.0,46.2,52.0,2.08,8500.0,
71919 CD/HCP4A,95.0,130.0,18.0,49.4,55.0,1.6,12000.0,18000.0
71919 CD/HCP4AH1,95.0,130.0,18.0,49.4,55.0,1.6,12000.0,18000.0
71919 CD/HCP4AL,95.0,130.0,18.0,49.4,55.0,1.6,12000.0,18000.0
S71919 CD/HCP4A,95.0,130.0,18.0,49.4,55.0,1.6,12000.0,
71919 CD/P4A,95.0,130.0,18.0,49.4,55.0,2.2,9000.0,15000.0
71919 CD/P4AH1,95.0,130.0,18.0,49.4,55.0,2.2,9000.0,15000.0
71919 CD/P4AL,95.0,130.0,18.0,49.4,55.0,2.2,9000.0,15000.0
S71919 CD/P4A,95.0,130.0,18.0,49.4,55.0,2.2,9000.0,
7019 ACB/HCP4A,95.0,145.0,24.0,27.6,24.5,0.695,13000.0,19000.0
7019 ACB/HCP4AL,95.0,145.0,24.0,27.6,24.5,0.695,13000.0,19000.0
S7019 ACB/HCP4A,95.0,145.0,24.0,27.6,24.5,0.695,13000.0,
7019 ACB/P4A,95.0,145.0,24.0,27.6,24.5,0.95,11000.0,16000.0
7019 ACB/P4AL,95.0,145.0,24.0,27.6,24.5,0.95,11000.0,16000.0
S7019 ACB/P4A,95.0,145.0,24.0,27.6,24.5,0.95,11000.0,
7019 CB/HCP4A,95.0,145.0,24.0,29.6,26.0,0.735,14000.0,22000.0
7019 CB/HCP4AL,95.0,145.0,24.0,29.6,26.0,0.735,14000.0,22000.0
S7019 CB/HCP4A,95.0,145.0,24.0,29.6,26.0,0.735,14000.0,
7019 CB/P4A,95.0,145.0,24.0,29.6,26.0,1.0,12000.0,18000.0
7019 CB/P4AL,95.0,145.0,24.0,29.6,26.0,1.0,12000.0,18000.0
S7019 CB/P4A,95.0,145.0,24.0,29.6,26.0,1.0,12000.0,
7019 ACE/HCP4A,95.0,145.0,24.0,41.6,36.0,1.02,13300.0,20500.0
7019 ACE/HCP4AH1,95.0,145.0,24.0,41.6,36.0,1.02,13300.0,20500.0
7019 ACE/HCP4AL,95.0,145.0,24.0,41.6,36.0,1.02,13300.0,20500.0
7019 ACE/HCP4AL1,95.0,145.0,24.0,41.6,36.0,1.02,13300.0,20500.0
S7019 ACE/HCP4A,95.0,145.0,24.0,41.6,36.0,1.02,13300.0,
7019 ACE/P4A,95.0,145.0,24.0,41.6,36.0,1.4,11500.0,18000.0
7019 ACE/P4AH1,95.0,145.0,24.0,41.6,36.0,1.4,11500.0,18000.0
7019 ACE/P4AL,95.0,145.0,24.0,41.6,36.0,1.4,11500.0,18000.0
7019 ACE/P4AL1,95.0,145.0,24.0,41.6,36.0,1.4,11500.0,18000.0
S7019 ACE/P4A,95.0,145.0,24.0,41.6,36.0,1.4,11500.0,
7019 CE/HCP4A,95.0,145.0,24.0,44.2,38.0,1.08,15000.0,23000.0
7019 CE/HCP4AH1,95.0,145.0,24.0,44.2,38.0,1.08,15000.0,23000.0
7019 CE/HCP4AL,95.0,145.0,24.0,44.2,38.0,1.08,15000.0,23000.0
7019 CE/HCP4AL1,95.0,145.0,24.0,44.2,38.0,1.08,15000.0,23000.0
S7019 CE/HCP4A,95.0,145.0,24.0,44.2,38.0,1.08,15000.0,
7019 CE/P4A,95.0,145.0,24.0,44.2,38.0,1.46,12700.0,20000.0
7019 CE/P4AH1,95.0,145.0,24.0,44.2,38.0,1.46,12700.0,20000.0
7019 CE/P4AL,95.0,145.0,24.0,44.2,38.0,1.46,12700.0,20000.0
7019 CE/P4AL1,95.0,145.0,24.0,44.2,38.0,1.46,12700.0,20000.0
S7019 CE/P4A,95.0,145.0,24.0,44.2,38.0,1.46,12700.0,
7019 ACD/HCP4A,95.0,145.0,24.0,76.1,76.5,2.16,10000.0,16000.0
7019 ACD/HCP4AH1,95.0,145.0,24.0,76.1,76.5,2.16,10000.0,16000.0
7019 ACD/HCP4AL,95.0,145.0,24.0,76.1,76.5,2.16,10000.0,16000.0
S7019 ACD/HCP4A,95.0,145.0,24.0,76.1,76.5,2.16,10000.0,
7019 ACD/P4A,95.0,145.0,24.0,76.1,76.5,2.9,8000.0,13000.0
7019 ACD/P4AH1,95.0,145.0,24.0,76.1,76.5,2.9,8000.0,13000.0
7019 ACD/P4AL,95.0,145.0,24.0,76.1,76.5,2.9,8000.0,13000.0
S7019 ACD/P4A,95.0,145.0,24.0,76.1,76.5,2.9,8000.0,
7019 CD/HCP4A,95.0,145.0,24.0,81.9,80.0,2.28,11000.0,17000.0
7019 CD/HCP4AH1,95.0,145.0,24.0,81.9,80.0,2.28,11000.0,17000.0
7019 CD/HCP4AL,95.0,145.0,24.0,81.9,80.0,2.28,11000.0,17000.0
S7019 CD/HCP4A,95.0,145.0,24.0,81.9,80.0,2.28,11000.0,
7019 CD/P4A,95.0,145.0,24.0,81.9,80.0,3.1,8500.0,14000.0
7019 CD/P4AH1,95.0,145.0,24.0,81.9,80.0,3.1,8500.0,14000.0
7019 CD/P4AL,95.0,145.0,24.0,81.9,80.0,3.1,8500.0,14000.0
S7019 CD/P4A,95.0,145.0,24.0,81.9,80.0,3.1,8500.0,
7219 ACD/HCP4A,95.0,170.0,32.0,133.0,114.0,3.1,8500.0,14000.0
7219 ACD/P4A,95.0,170.0,32.0,133.0,114.0,4.25,7500.0,12000.0
7219 CD/HCP4A,95.0,170.0,32.0,138.0,120.0,3.2,9500.0,15000.0
7219 CD/P4A,95.0,170.0,32.0,138.0,120.0,4.4,8000.0,13000.0
