产品品牌,产品型号,产品称号,历史品牌,历史型号,产品类型,内径d,外径D,宽度B,油脂转速,油气转速,质量KG,产品系列,精度等级,预紧等级,密封形式,角度,滚动体大小,滚动体材料,配组列数,配组形式,说明,标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_brand,product_model,product_label,product_brand_old,product_model_old,product_class,ind,oud,wid,speed_g,speed_o,weight,serie,accuracy,preload,seal,angle,r_size,r_matel,assembly_no,assembly_type,note,tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S7022ACB/HCGA/P4A,S 7022 ACB / HC GA / P4A,SNFA,HX110/S/NS7CE3UL,角接触球轴承,110,170,28,11000,16000,2.1,70,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S7024ACB/HCGA/P4A,S 7024 ACB / HC GA / P4A,SNFA,HX120/S/NS7CE3UL,角接触球轴承,120,180,28,10000,15000,2.2,70,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71906ACB/HCGA/P4A,S 71906 ACB / HC GA / P4A,SNFA,HB30/S/NS7CE3UL,角接触球轴承,30,47,9,43000,67000,0.047,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71907ACB/HCGA/P4A,S 71907 ACB / HC GA / P4A,SNFA,HB35/S/NS7CE3UL,角接触球轴承,35,55,10,36000,56000,0.077,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71908ACB/HCGA/P4A,S 71908 ACB / HC GA / P4A,SNFA,HB40/S/NS7CE3UL,角接触球轴承,40,62,12,32000,50000,0.12,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71909ACB/HCGA/P4A,S 71909 ACB / HC GA / P4A,SNFA,HB45/S/NS7CE3UL,角接触球轴承,45,68,12,30000,45000,0.13,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71910ACB/HCGA/P4A,S 71910 ACB / HC GA / P4A,SNFA,HB50/S/NS7CE3UL,角接触球轴承,50,72,12,28000,43000,0.13,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71911ACB/HCGA/P4A,S 71911 ACB / HC GA / P4A,SNFA,HB55/S/NS7CE3UL,角接触球轴承,55,80,13,24000,38000,0.18,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71912ACB/HCGA/P4A,S 71912 ACB / HC GA / P4A,SNFA,HB60/S/NS7CE3UL,角接触球轴承,60,85,13,22000,36000,0.19,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71913ACB/HCGA/P4A,S 71913 ACB / HC GA / P4A,SNFA,HB65/S/NS7CE3UL,角接触球轴承,65,90,13,22000,34000,0.2,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71914ACB/HCGA/P4A,S 71914 ACB / HC GA / P4A,SNFA,HB70/S/NS7CE3UL,角接触球轴承,70,100,16,19000,30000,0.34,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71915ACB/HCGA/P4A,S 71915 ACB / HC GA / P4A,SNFA,HB75/S/NS7CE3UL,角接触球轴承,75,105,16,18000,28000,0.36,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71916ACB/HCGA/P4A,S 71916 ACB / HC GA / P4A,SNFA,HB80/S/NS7CE3UL,角接触球轴承,80,110,16,17000,26000,0.37,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71917ACB/HCGA/P4A,S 71917 ACB / HC GA / P4A,SNFA,HB85/S/NS7CE3UL,角接触球轴承,85,120,18,16000,24000,0.56,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71918ACB/HCGA/P4A,S 71918 ACB / HC GA / P4A,SNFA,HB90/S/NS7CE3UL,角接触球轴承,90,125,18,15000,22000,0.58,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71919ACB/HCGA/P4A,S 71919 ACB / HC GA / P4A,SNFA,HB95/S/NS7CE3UL,角接触球轴承,95,130,18,14000,22000,0.61,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71920ACB/HCGA/P4A,S 71920 ACB / HC GA / P4A,SNFA,HB100/S/NS7CE3UL,角接触球轴承,100,140,20,13000,20000,0.83,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71922ACB/HCGA/P4A,S 71922 ACB / HC GA / P4A,SNFA,HB110/S/NS7CE3UL,角接触球轴承,110,150,20,12000,19000,0.87,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,S71924ACB/HCGA/P4A,S 71924 ACB / HC GA / P4A,SNFA,HB120/S/NS7CE3UL,角接触球轴承,120,165,22,11000,17000,1.2,719,P4A,轻,密封,25,小,陶瓷,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71800CDGA/P4,71800 CD GA / P4,SNFA,SEA107CE1UL,角接触球轴承,10,19,5,80000,120000,0.005,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71801CDGA/P4,71801 CD GA / P4,SNFA,SEA127CE1UL,角接触球轴承,12,21,5,70000,110000,0.006,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71802CDGA/P4,71802 CD GA / P4,SNFA,SEA157CE1UL,角接触球轴承,15,24,5,60000,90000,0.007,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71803CDGA/P4,71803 CD GA / P4,SNFA,SEA177CE1UL,角接触球轴承,17,26,5,53000,85000,0.01,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71804CDGA/P4,71804 CD GA / P4,SNFA,SEA207CE1UL,角接触球轴承,20,32,7,45000,70000,0.018,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71805CDGA/P4,71805 CD GA / P4,SNFA,SEA257CE1UL,角接触球轴承,25,37,7,38000,56000,0.021,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71806CDGA/P4,71806 CD GA / P4,SNFA,SEA307CE1UL,角接触球轴承,30,42,7,32000,50000,0.026,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71807CDGA/P4,71807 CD GA / P4,SNFA,SEA357CE1UL,角接触球轴承,35,47,7,28000,43000,0.028,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71808CDGA/P4,71808 CD GA / P4,SNFA,SEA407CE1UL,角接触球轴承,40,52,7,26000,38000,0.031,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71809CDGA/P4,71809 CD GA / P4,SNFA,SEA457CE1UL,角接触球轴承,45,58,7,22000,34000,0.039,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71810CDGA/P4,71810 CD GA / P4,SNFA,SEA507CE1UL,角接触球轴承,50,65,7,20000,30000,0.051,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71811CDGA/P4,71811 CD GA / P4,SNFA,SEA557CE1UL,角接触球轴承,55,72,9,18000,28000,0.081,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71812CDGA/P4,71812 CD GA / P4,SNFA,SEA607CE1UL,角接触球轴承,60,78,10,16000,24000,0.1,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71813CDGA/P4,71813 CD GA / P4,SNFA,SEA657CE1UL,角接触球轴承,65,85,10,15000,22000,0.126,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71814CDGA/P4,71814 CD GA / P4,SNFA,SEA707CE1UL,角接触球轴承,70,90,10,14000,22000,0.134,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71815CDGA/P4,71815 CD GA / P4,SNFA,SEA757CE1UL,角接触球轴承,75,95,10,13000,20000,0.142,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF,71816CDGA/P4,71816 CD GA / P4,SNFA,SEA807CE1UL,角接触球轴承,80,100,10,12000,19000,0.151,718,P4,轻,开式,15,大,轴承钢,单列,万能自由配组,,精密轴承 主轴轴承 高速主轴 高速电机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
